Title,Author,Language,Subject,Category,Release_Date,Downloads,Source_URL,Scrape_Timestamp
"Frankenstein; or, the modern prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851",English,Frankenstein's monster (Fictitious character) -- Fiction,Text,"Oct 1, 1993",146193,https://www.gutenberg.org/ebooks/84,2026-04-24 18:15
"The City of God, Volume I by Saint of Hippo Augustine","Augustine, of Hippo, Saint, 354-430",English,Kingdom of God -- Early works to 1800,Text,"Apr 8, 2014",139919,https://www.gutenberg.org/ebooks/45304,2026-04-24 18:15
"Moby Dick; Or, The Whale by Herman Melville","Melville, Herman, 1819-1891",English,Whaling ships -- Fiction,Text,"Jul 1, 2001",118655,https://www.gutenberg.org/ebooks/2701,2026-04-24 18:15
Pride and Prejudice by Jane Austen,"Austen, Jane, 1775-1817",English,Social classes -- Fiction,Text,"Jun 1, 1998",103210,https://www.gutenberg.org/ebooks/1342,2026-04-24 18:15
Romeo and Juliet by William Shakespeare,"Shakespeare, William, 1564-1616",English,Tragedies (Drama),Text,"Nov 1, 1998",77436,https://www.gutenberg.org/ebooks/1513,2026-04-24 18:15
Crime and Punishment by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881",English,Crime -- Psychological aspects -- Fiction,Text,"Mar 28, 2006",73560,https://www.gutenberg.org/ebooks/2554,2026-04-24 18:16
The origin and development of the moral ideas by Edward Westermarck,"Westermarck, Edward, 1862-1939",English,Ethics -- History,Text,"May 19, 2016",72555,https://www.gutenberg.org/ebooks/52106,2026-04-24 18:16
Alice's Adventures in Wonderland by Lewis Carroll,"Carroll, Lewis, 1832-1898",English,Alice (Fictitious character from Carroll) -- Juvenile fiction,Text,"Jun 27, 2008",68287,https://www.gutenberg.org/ebooks/11,2026-04-24 18:16
A Room with a View by E. M. Forster,"Forster, E. M. (Edward Morgan), 1879-1970",English,Florence (Italy) -- Fiction,Text,"May 1, 2001",64648,https://www.gutenberg.org/ebooks/2641,2026-04-24 18:16
The strange case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,"Stevenson, Robert Louis, 1850-1894",English,Multiple personality -- Fiction,Text,"Jun 27, 2008",63747,https://www.gutenberg.org/ebooks/43,2026-04-24 18:16
